label,definition,alt_labels,scheme,status,approved_by,term_uri
AML screening,"the process of monitoring customer transactions and behaviour to detect and report activities that may constitute money laundering or the financing of terrorism, as required by applicable anti-money laundering regulations.",,,review,,http://ontobridge.dev/ontology/bank/AMLScreening
Collateral,"an asset pledged by a borrower to a lender as security against a loan obligation, allowing the lender to seize the asset in the event of default.",,,candidate,,http://ontobridge.dev/ontology/bank/Collateral
Credit score,"a numerical rating assigned to a borrower based on their credit history, repayment behaviour, and financial profile, used by lenders to evaluate the likelihood of loan repayment.",,SchemeProcess,candidate,,http://ontobridge.dev/ontology/bank/CreditScore
KYC verification process,the mandatory regulatory procedure that requires the bank to verify the identity and risk profile of each customer before establishing a banking relationship or processing high-value transactions.,,SchemeProcess,review,,http://ontobridge.dev/ontology/bank/KYCVerificationProcess
Loan-to-Value ratio,"the financial metric that expresses the ratio of the outstanding loan amount to the appraised market value of the collateral property, used by lenders to assess credit risk before approving a mortgage application.",,SchemeProcess,review,,http://ontobridge.dev/ontology/bank/LoanToValueRatio
Mortgage,a loan secured by real property in which the borrower pledges the asset as collateral to the lender until the loan is fully repaid.,,,candidate,,http://ontobridge.dev/ontology/bank/Mortgage
Net interest margin,"Net interest margin is the difference between the interest income generated by a bank and the interest paid to depositors, expressed as a percentage of interest-earning assets.",,,candidate,,http://ontobridge.dev/ontology/bank/NetInterestMargin
Overdraft,"a credit facility provided by a bank that allows an account holder to withdraw funds beyond the available account balance up to a pre-agreed limit, subject to interest charges on the overdrawn amount.",,,candidate,,http://ontobridge.dev/ontology/bank/Overdraft
SEPA transfer,"a euro-denominated payment transaction executed within the Single Euro Payments Area, subject to standardised processing times and fee structures established by the European Payments Council.",,,review,,http://ontobridge.dev/ontology/bank/SEPATransfer
SWIFT message,a standardised financial communication sent through the Society for Worldwide Interbank Financial Telecommunication network to facilitate cross-border payment instructions between correspondent banks.,,,review,,http://ontobridge.dev/ontology/bank/SWIFTMessage
